Date,Brent,WTI
6/15/2017,46.37,45.18
7/15/2017,48.48,46.63
8/15/2017,51.7,48.04
9/15/2017,56.15,49.82
10/15/2017,57.51,51.58
11/15/2017,62.71,56.64
12/15/2017,64.37,57.88
1/15/2018,69.08,63.7
2/15/2018,65.32,62.23
3/15/2018,66.02,62.73
4/15/2018,72.11,66.25
5/15/2018,76.98,69.98
6/15/2018,74.41,67.87
7/15/2018,74.25,70.98
8/15/2018,72.53,68.06
9/15/2018,78.89,70.23
10/15/2018,81.03,70.75
11/15/2018,64.75,56.96
12/15/2018,57.36,49.52
1/15/2019,59.41,51.38
2/15/2019,63.96,54.95
3/15/2019,66.14,58.15
4/15/2019,71.23,63.86
5/15/2019,71.32,60.83
6/15/2019,64.22,54.66
7/15/2019,63.92,57.35
